keynum,methodName,methodOfClass,projectName,SIZE,LCOM1,LCOM2,LCOM4,COH,CC,DR,NOAV,WMA,code
1,main(String[]),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\Test.java,jsmooth,9,24,12,3,0.3333,0.2238,0.5,3,1,"/** 
 * @param args the command line arguments
 */
public static void main(String[] args) throws Exception {
  String[] d=new String[2];
  d[0]=""test"";
  d[1]=""test2"";
  JSmoothModelBean model=new JSmoothModelBean();
  model.setJarLocation(""MyJarLocation"");
  model.setClassPath(d);
  JSmoothModelPersistency.save(new File(""c:/result.xml""),model);
}
"
13,"compile(File,SkeletonBean,File,JSmoothModelBean,File)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\ExeCompiler.java,jsmooth,49,1089,1002,8,0.0593,0.0336,0.4,18,10,"public boolean compile(File skelroot,SkeletonBean skel,File basedir,JSmoothModelBean data,File out) throws Exception {
  try {
    fireStepChange(0,""Starting compilation"");
    File pattern=new File(skelroot,skel.getExecutableName());
    if (pattern.exists() == false) {
      m_errors.add(""Error: Can't find any skeleton at "" + skelroot);
      fireFailedChange();
      return false;
    }
    fireStepChange(10,""Scanning skeleton..."");
    PEFile pe=new PEFile(pattern);
    pe.open();
    PEResourceDirectory resdir=pe.getResourceDirectory();
    boolean resb=false;
    if (data.getEmbeddedJar() == true) {
      if (data.getJarLocation() == null) {
        m_errors.add(""Error: Jar is not specified!"");
        fireFailedChange();
        return false;
      }
      fireStepChange(40,""Loading Jar..."");
      File jarloc=concFile(basedir,new File(data.getJarLocation()));
      if (jarloc.exists() == false) {
        m_errors.add(""Error: Can't find jar at "" + jarloc);
        fireFailedChange();
        return false;
      }
      ByteBuffer jardata=load(jarloc);
      fireStepChange(60,""Adding Jar to Resources..."");
      resb=resdir.replaceResource(skel.getResourceCategory(),skel.getResourceJarId(),1033,jardata);
      if (resb == false) {
        m_errors.add(""Error: Can't replace jar resource! It is probably missing from the skeleton."");
        fireFailedChange();
        return false;
      }
    }
    fireStepChange(70,""Adding Properties to Resources..."");
    String props=PropertiesBuilder.makeProperties(basedir,data);
    ByteBuffer propdata=convert(props);
    resb=resdir.replaceResource(skel.getResourceCategory(),skel.getResourcePropsId(),1033,propdata);
    if (data.getIconLocation() != null) {
      fireStepChange(80,""Loading icon..."");
      String iconpath;
      if (new java.io.File(data.getIconLocation()).isAbsolute())       iconpath=data.getIconLocation();
 else       iconpath=new java.io.File(basedir,data.getIconLocation()).getAbsolutePath();
      Image img=getScaledImage(iconpath,32,32);
      Hashtable set=calculateColorCount(img);
      if (img != null) {
        net.charabia.jsmoothgen.pe.res.ResIcon resicon=new net.charabia.jsmoothgen.pe.res.ResIcon(img);
        pe.replaceDefaultIcon(resicon);
      }
    }
    fireStepChange(90,""Saving exe..."");
    pe.dumpTo(out);
    fireCompleteChange();
    return true;
  }
 catch (  Exception exc) {
    m_errors.add(""Error: "" + exc.getMessage());
    exc.printStackTrace();
    fireFailedChange();
    return false;
  }
}
"
14,loadImages(String),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\ExeCompiler.java,jsmooth,13,63,48,4,0.1731,0.0877,0,4,1,"public Image[] loadImages(String path){
  File f=new File(path);
  if (path.toUpperCase().endsWith("".ICO"")) {
    try {
      java.awt.Image[] images=net.charabia.util.codec.IcoCodec.loadImages(f);
      if ((images != null) && (images.length > 0)) {
        return images;
      }
    }
 catch (    java.io.IOException exc) {
      exc.printStackTrace();
    }
  }
  javax.swing.ImageIcon icon=new javax.swing.ImageIcon(path,""default icon"");
  java.awt.Image[] imgs=new java.awt.Image[1];
  imgs[0]=icon.getImage();
  return imgs;
}
"
15,checkImageLoaded(Image),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\ExeCompiler.java,jsmooth,6,12,9,4,0.25,0.0952,0,3,2,"public void checkImageLoaded(Image img){
  MediaTracker mtrack=new MediaTracker(new Canvas());
  mtrack.addImage(img,1);
  try {
    mtrack.waitForAll();
  }
 catch (  InterruptedException e) {
  }
}
"
16,calculateColorCount(Image),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\ExeCompiler.java,jsmooth,23,230,207,9,0.0897,0.0347,0,12,5,"private Hashtable calculateColorCount(Image img){
  int width=img.getWidth(null);
  int height=img.getHeight(null);
  int[] pixels=new int[width * height];
  PixelGrabber grabber=new PixelGrabber(img,0,0,width,height,pixels,0,width);
  try {
    grabber.grabPixels();
  }
 catch (  InterruptedException e) {
    System.err.println(""interrupted waiting for pixels!"");
  }
  Hashtable result=new Hashtable();
  int colorindex=0;
  for (int i=0; i < pixels.length; i++) {
    int pix=pixels[i];
    if (((pix >> 24) & 0xFF) > 0) {
      pix&=0x00FFFFFF;
      Integer pixi=new Integer(pix);
      Object o=result.get(pixi);
      if (o == null) {
        result.put(pixi,new Integer(colorindex++));
      }
    }
  }
  return result;
}
"
21,convert(String),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\ExeCompiler.java,jsmooth,9,19,2,3,0.2889,0.2405,0,3,2,"private ByteBuffer convert(String data){
  ByteBuffer result=ByteBuffer.allocate(data.length() + 1);
  result.position(0);
  for (int i=0; i < data.length(); i++) {
    result.put((byte)data.charAt(i));
  }
  result.put((byte)0);
  result.position(0);
  return result;
}
"
86,"normalizePaths(java.io.File,boolean)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelBean.java,jsmooth,18,98,43,3,0.1898,0.1327,0,6,8,"public String[] normalizePaths(java.io.File filebase,boolean toRelativePath){
  Vector result=new Vector();
  m_iconLocation=checkRelativePath(filebase,m_iconLocation,result,""Icon location"",toRelativePath);
  m_jarLocation=checkRelativePath(filebase,m_jarLocation,result,""Jar location"",toRelativePath);
  m_bundledJVM=checkRelativePath(filebase,m_bundledJVM,result,""Bundle JVM location"",toRelativePath);
  m_executableName=checkRelativePath(filebase,m_executableName,result,""Executable location"",toRelativePath);
  if (m_executableName != null) {
    File exebase=new File(m_executableName);
    if (exebase.isAbsolute() == false)     exebase=new File(filebase,exebase.toString()).getParentFile();
    if ((m_currentDirectory != null) && (m_currentDirectory.indexOf(""${"") >= 0))     m_currentDirectory=checkRelativePath(exebase,m_currentDirectory,result,""Current directory"",toRelativePath);
  }
  if (m_classPath != null) {
    for (int i=0; i < m_classPath.length; i++) {
      m_classPath[i]=checkRelativePath(filebase,m_classPath[i],result,""Classpath entry ("" + i + "")"",toRelativePath);
    }
  }
  if (result.size() == 0)   return null;
  String[] res=new String[result.size()];
  result.toArray(res);
  return res;
}
"
87,"checkRelativePath(java.io.File,String,java.util.Vector,String,boolean)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelBean.java,jsmooth,14,63,35,4,0.1643,0.161,1,8,6,"private String checkRelativePath(java.io.File root,String value,java.util.Vector errors,String name,boolean toRelativePath){
  if (value == null)   return value;
  if (toRelativePath) {
    File nf=JSmoothModelPersistency.makePathRelativeIfPossible(root,new File(value));
    if (nf.isAbsolute()) {
      errors.add(name);
    }
    return nf.toString();
  }
 else {
    File nf=new File(value);
    if (nf.isAbsolute() == false) {
      nf=new File(root,value);
      nf=nf.getAbsoluteFile();
      try {
        nf=nf.getCanonicalFile();
        nf=nf.getAbsoluteFile();
      }
 catch (      IOException iox) {
      }
    }
    return nf.toString();
  }
}
"
88,load(File),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelPersistency.java,jsmooth,29,363,320,9,0.1069,0.0673,0.2,10,8,"public static JSmoothModelBean load(File fin) throws IOException {
  FileReader fr=new FileReader(fin);
  try {
    JSmoothModelBean jobj=new JSmoothModelBean();
    String INVALID=""INVALID"";
    jobj.setSkeletonName(INVALID);
    JOXBeanReader jbr=new JOXBeanReader(fr);
    jbr.readObject(jobj);
    jbr.close();
    fr.close();
    if (jobj.getSkeletonName() == INVALID) {
      throw new Exception(""Not a JOX File"");
    }
    if ((jobj.getJarLocation() != null) && (jobj.getJarLocation().length() > 0)) {
      jobj.setEmbeddedJar(true);
    }
    return jobj;
  }
 catch (  Exception exc) {
    fr.close();
    try {
      FileInputStream fis=new FileInputStream(fin);
      XMLDecoder dec=new XMLDecoder(fis);
      JSmoothModelBean xobj=(JSmoothModelBean)dec.readObject();
      fis.close();
      if ((xobj.getJarLocation() != null) && (xobj.getJarLocation().length() > 0))       xobj.setEmbeddedJar(true);
      return xobj;
    }
 catch (    Exception exc2) {
      exc2.printStackTrace();
      throw new IOException(exc2.toString());
    }
  }
}
"
89,"save(File,JSmoothModelBean)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelPersistency.java,jsmooth,11,47,39,5,0.1818,0.0769,0.333333333,6,3,"public static void save(File fout,JSmoothModelBean obj) throws IOException {
  try {
    String jarloc=obj.getJarLocation();
    if (obj.getEmbeddedJar() == false)     obj.setJarLocation(null);
    FileWriter fw=new FileWriter(fout);
    JOXBeanWriter jbw=new JOXBeanWriter(fw);
    jbw.writeObject(""jsmoothproject"",obj);
    jbw.close();
    fw.close();
    obj.setJarLocation(jarloc);
  }
 catch (  Exception ex) {
    throw new IOException(ex.toString());
  }
 finally {
  }
}
"
